Full Name,Entity Type,Last Name,First Name,Second Name
"ROGOV, Volodymyr Valeriyovych",individual,ROGOV,Vo,Valeriyovych
"MANTILLA OLIVEROS, Jesus Maria",individual,MANTILLA OLIVEROS,Je,Maria
"EMELYANOVA, Svetlana Petrovna",individual,EMELYANOVA,Svetla,Petrovna
"GRAK, Olga Yurievna",individual,GRAK,Ol,Yurievna
"HAMIDI, Mihrab Suhrab",individual,HAMIDI,Mihr,Suhrab
"MORENO MEDINA, Luis Ignacio",individual,MORENO MEDINA,L,Ignacio
"ZAMBADA NIEBLA, Monica del Rosario",individual,ZAMBADA NIEBLA,M,del Rosario
"NAUMOV, Stanislav Aleksandrovich",individual,NAUMOV,Stan,Aleksandrovich
"BERMUDEZ SUAZA, Pedro Antonio",individual,BERMUDEZ SUAZA,Ped,Antonio
"IZQUIERDO TORRES, Gerardo Jose",individual,IZQUIERDO TORRES,Gera,Jose
"AL BANAI, Ali Reda Hassan",individual,AL BANAI,Ali,Reda Hassan
"AL-YASSIN, Husam Muhammad Amin",individual,AL-YASSIN,Hus,Muhammad Amin
"LAPO, Anatol Piatrovich",individual,LAPO,Ana,Piatrovich
"KANG, Min",individual,KANG,Min,
"EMELYANOV, Gennady Egorovich",individual,EMELYANOV,Genna,Egorovich
"AL-QADULI, Abd Al-Rahman Muhammad Mustafa",individual,AL-QADULI,Abd,Al-Rahman Muhammad Mustafa
"SUN, Wenqing",individual,SUN,Wen,
"HENAO JARAMILLO, Mario Alberto",individual,HENAO JARAMILLO,M,Alberto
"YARMOSHINA, Lidziya Mihaulauna",individual,YARMOSHINA,L,Mihaulauna
"KHAN, Abid Ali",individual,KHAN,Ab,Ali
"IRLU, Hasan",individual,IRLU,Ha,
"RI, Song-hyok",individual,RI,Song-hy,
"IBRAHIM, Yasser Hussein",individual,IBRAHIM,Ya,Hussein
"PYRKOVA, Ekaterina Eduardovna",individual,PYRKOVA,Eka,Eduardovna
"SUBAYTI, Wahid Mahmud",individual,SUBAYTI,Wah,Mahmud
"CHAYKA, Igor Yuryevich",individual,CHAYKA,Igo,Yuryevich
"SCHNEIDER, Simon",individual,SCHNEIDER,Si,
"AUF, Awad Ibn",individual,AUF,Aw,Ibn
"ACOSTA IBARRA, Ruben",individual,ACOSTA IBARRA,Rube,
"OLORUNYOMI, Micheal",individual,OLORUNYOMI,Miche,
"BOGATIROV, Letscha",individual,BOGATIROV,L,
"BORTNIKOV, Denis Aleksandrovich",individual,BORTNIKOV,D,Aleksandrovich
"PAVLENKO, Vladimir Nikolaevich",individual,PAVLENKO,Vla,Nikolaevich
"KOSTENKO, Elena Nikolaevna",individual,KOSTENKO,Ele,Nikolaevna
"AL-AZZAWI, Hikmat Mizban Ibrahim",individual,AL-AZZAWI,H,Mizban Ibrahim
"MON, Khin Thiri Thet",individual,MON,Kh,Thiri Thet
"OO, Tun Tun",individual,OO,Tun,Tun
"HUSAYN, Hanan",individual,HUSAYN,Ha,
"IBRAHIM, 'Ali",individual,IBRAHIM,'A,
"PODOBED, Yury Nikolaevich",individual,PODOBED,Yur,Nikolaevich
"ISMA'IL, Ayham",individual,ISMA'IL,A,
"AL-SASI, Jumanah",individual,AL-SASI,Juma,
"ACHEKZAI, Maulawi Adam Khan",individual,ACHEKZAI,M,Adam Khan
"KARTAPOLOV, Andrey Valeriyevich",individual,KARTAPOLOV,An,Valeriyevich
"SUPERLANO, Adolfo Ramon",individual,SUPERLANO,Ado,Ramon
"IVANOV, Victor Petrovich",individual,IVANOV,Vict,Petrovich
"KOJIC, Radomir",individual,KOJIC,Radom,
"HASHEMITABAR, Sayyed Asghar",individual,HASHEMITABAR,S,Asghar
"TAJIDEEN, Ali",individual,TAJIDEEN,Ali,
"FLOREZ SEPULVEDA, Marco Tulio",individual,FLOREZ SEPULVEDA,Mar,Tulio
"NIKOLAEV, Viktor Andreevich",individual,NIKOLAEV,Vi,Andreevich
"MUKIIBI, Moses",individual,MUKIIBI,Mo,
"OSTAD, Mohammad Reza",individual,OSTAD,Mohamm,Reza
"CHU, Yeyou",individual,CHU,Y,
"RUSANOV, Sergey Georgievich",individual,RUSANOV,Ser,Georgievich
"NASIF, Saba",individual,NASIF,Sab,
"ANWAR, Rao",individual,ANWAR,Rao,
"RASHKIN, Valery Fedorovich",individual,RASHKIN,Va,Fedorovich
"AL-SHAKHAN, Fuad Ahmad Nuri Ali",individual,AL-SHAKHAN,Fu,Ahmad Nuri Ali
"AL-KHATIB, Ahmad",individual,AL-KHATIB,Ahma,
"RANGEL GOMEZ, Francisco Jose",individual,RANGEL GOMEZ,Fra,Jose
"KOSARAYANIFARD, Pejman Mahmood",individual,KOSARAYANIFARD,P,Mahmood
"GONZALEZ HOYOS, Carlos Enrique",individual,GONZALEZ HOYOS,C,Enrique
"GOMEZ APONTE, Laura Victoria",individual,GOMEZ APONTE,Laur,Victoria
"AL-TIKRITI, Hamid Raja Shalah",individual,AL-TIKRITI,Ha,Raja Shalah
"RAMIREZ LENIS, Jhon Jairo",individual,RAMIREZ LENIS,J,Jairo
